OrderID,ProductID,ProductName,CategoryID,CategoryName,CustomerID,CompanyName,EmployeeID,OrderDate,ShippedDate,UnitPrice,Quantity,Discount,TotalPrice,Year,Month,ShipCountry
10248,11,Queso Cabrales,4,Dairy Products,VINET,Vins et alcools Chevalier,5,1996-07-04,1996-07-16,14.0,12,0.0,168.0,1996,7,France
10248,42,Singaporean Hokkien Fried Mee,5,Grains/Cereals,VINET,Vins et alcools Chevalier,5,1996-07-04,1996-07-16,9.8,10,0.0,98.0,1996,7,France
10248,72,Mozzarella di Giovanni,4,Dairy Products,VINET,Vins et alcools Chevalier,5,1996-07-04,1996-07-16,34.8,5,0.0,174.0,1996,7,France
10249,14,Tofu,7,Produce,TOMSP,Toms Spezialitäten,6,1996-07-05,1996-07-10,18.6,9,0.0,167.4,1996,7,Germany
10249,51,Manjimup Dried Apples,7,Produce,TOMSP,Toms Spezialitäten,6,1996-07-05,1996-07-10,42.4,40,0.0,1696.0,1996,7,Germany
10250,41,Jack's New England Clam Chowder,8,Seafood,HANAR,Hanari Carnes,4,1996-07-08,1996-07-12,7.7,10,0.0,77.0,1996,7,Brazil
10250,51,Manjimup Dried Apples,7,Produce,HANAR,Hanari Carnes,4,1996-07-08,1996-07-12,42.4,35,0.15,1261.3999999999999,1996,7,Brazil
10250,65,Louisiana Fiery Hot Pepper Sauce,2,Condiments,HANAR,Hanari Carnes,4,1996-07-08,1996-07-12,16.8,15,0.15,214.2,1996,7,Brazil
10251,22,Gustaf's Knäckebröd,5,Grains/Cereals,VICTE,Victuailles en stock,3,1996-07-08,1996-07-15,16.8,6,0.05,95.76,1996,7,France
10251,57,Ravioli Angelo,5,Grains/Cereals,VICTE,Victuailles en stock,3,1996-07-08,1996-07-15,15.6,15,0.05,222.29999999999998,1996,7,France
10251,65,Louisiana Fiery Hot Pepper Sauce,2,Condiments,VICTE,Victuailles en stock,3,1996-07-08,1996-07-15,16.8,20,0.0,336.0,1996,7,France
10252,20,Sir Rodney's Marmalade,3,Confections,SUPRD,Suprêmes délices,4,1996-07-09,1996-07-11,64.8,40,0.05,2462.4,1996,7,Belgium
10252,33,Geitost,4,Dairy Products,SUPRD,Suprêmes délices,4,1996-07-09,1996-07-11,2.0,25,0.05,47.5,1996,7,Belgium
10252,60,Camembert Pierrot,4,Dairy Products,SUPRD,Suprêmes délices,4,1996-07-09,1996-07-11,27.2,40,0.0,1088.0,1996,7,Belgium
10253,31,Gorgonzola Telino,4,Dairy Products,HANAR,Hanari Carnes,3,1996-07-10,1996-07-16,10.0,20,0.0,200.0,1996,7,Brazil
10253,39,Chartreuse verte,1,Beverages,HANAR,Hanari Carnes,3,1996-07-10,1996-07-16,14.4,42,0.0,604.8000000000001,1996,7,Brazil
10253,49,Maxilaku,3,Confections,HANAR,Hanari Carnes,3,1996-07-10,1996-07-16,16.0,40,0.0,640.0,1996,7,Brazil
10254,24,Guaraná Fantástica,1,Beverages,CHOPS,Chop-suey Chinese,5,1996-07-11,1996-07-23,3.6,15,0.15,45.9,1996,7,Switzerland
10254,55,Pâté chinois,6,Meat/Poultry,CHOPS,Chop-suey Chinese,5,1996-07-11,1996-07-23,19.2,21,0.15,342.71999999999997,1996,7,Switzerland
10254,74,Longlife Tofu,7,Produce,CHOPS,Chop-suey Chinese,5,1996-07-11,1996-07-23,8.0,21,0.0,168.0,1996,7,Switzerland
10255,2,Chang,1,Beverages,RICSU,Richter Supermarkt,9,1996-07-12,1996-07-15,15.2,20,0.0,304.0,1996,7,Switzerland
10255,16,Pavlova,3,Confections,RICSU,Richter Supermarkt,9,1996-07-12,1996-07-15,13.9,35,0.0,486.5,1996,7,Switzerland
10255,36,Inlagd Sill,8,Seafood,RICSU,Richter Supermarkt,9,1996-07-12,1996-07-15,15.2,25,0.0,380.0,1996,7,Switzerland
10255,59,Raclette Courdavault,4,Dairy Products,RICSU,Richter Supermarkt,9,1996-07-12,1996-07-15,44.0,30,0.0,1320.0,1996,7,Switzerland
10256,53,Perth Pasties,6,Meat/Poultry,WELLI,Wellington Importadora,3,1996-07-15,1996-07-17,26.2,15,0.0,393.0,1996,7,Brazil
10256,77,Original Frankfurter grüne Soße,2,Condiments,WELLI,Wellington Importadora,3,1996-07-15,1996-07-17,10.4,12,0.0,124.80000000000001,1996,7,Brazil
10257,27,Schoggi Schokolade,3,Confections,HILAA,HILARION-Abastos,4,1996-07-16,1996-07-22,35.1,25,0.0,877.5,1996,7,Venezuela
10257,39,Chartreuse verte,1,Beverages,HILAA,HILARION-Abastos,4,1996-07-16,1996-07-22,14.4,6,0.0,86.4,1996,7,Venezuela
10257,77,Original Frankfurter grüne Soße,2,Condiments,HILAA,HILARION-Abastos,4,1996-07-16,1996-07-22,10.4,15,0.0,156.0,1996,7,Venezuela
10258,2,Chang,1,Beverages,ERNSH,Ernst Handel,1,1996-07-17,1996-07-23,15.2,50,0.2,608.0,1996,7,Austria
10258,5,Chef Anton's Gumbo Mix,2,Condiments,ERNSH,Ernst Handel,1,1996-07-17,1996-07-23,17.0,65,0.2,884.0,1996,7,Austria
10258,32,Mascarpone Fabioli,4,Dairy Products,ERNSH,Ernst Handel,1,1996-07-17,1996-07-23,25.6,6,0.2,122.88000000000002,1996,7,Austria
10259,21,Sir Rodney's Scones,3,Confections,CENTC,Centro comercial Moctezuma,4,1996-07-18,1996-07-25,8.0,10,0.0,80.0,1996,7,Mexico
10259,37,Gravad lax,8,Seafood,CENTC,Centro comercial Moctezuma,4,1996-07-18,1996-07-25,20.8,1,0.0,20.8,1996,7,Mexico
10260,41,Jack's New England Clam Chowder,8,Seafood,OTTIK,Ottilies Käseladen,4,1996-07-19,1996-07-29,7.7,16,0.25,92.4,1996,7,Germany
10260,57,Ravioli Angelo,5,Grains/Cereals,OTTIK,Ottilies Käseladen,4,1996-07-19,1996-07-29,15.6,50,0.0,780.0,1996,7,Germany
10260,62,Tarte au sucre,3,Confections,OTTIK,Ottilies Käseladen,4,1996-07-19,1996-07-29,39.4,15,0.25,443.25,1996,7,Germany
10260,70,Outback Lager,1,Beverages,OTTIK,Ottilies Käseladen,4,1996-07-19,1996-07-29,12.0,21,0.25,189.0,1996,7,Germany
10261,21,Sir Rodney's Scones,3,Confections,QUEDE,Que Delícia,4,1996-07-19,1996-07-30,8.0,20,0.0,160.0,1996,7,Brazil
10261,35,Steeleye Stout,1,Beverages,QUEDE,Que Delícia,4,1996-07-19,1996-07-30,14.4,20,0.0,288.0,1996,7,Brazil
10262,5,Chef Anton's Gumbo Mix,2,Condiments,RATTC,Rattlesnake Canyon Grocery,8,1996-07-22,1996-07-25,17.0,12,0.2,163.20000000000002,1996,7,USA
10262,7,Uncle Bob's Organic Dried Pears,7,Produce,RATTC,Rattlesnake Canyon Grocery,8,1996-07-22,1996-07-25,24.0,15,0.0,360.0,1996,7,USA
10262,56,Gnocchi di nonna Alice,5,Grains/Cereals,RATTC,Rattlesnake Canyon Grocery,8,1996-07-22,1996-07-25,30.4,2,0.0,60.8,1996,7,USA
10263,16,Pavlova,3,Confections,ERNSH,Ernst Handel,9,1996-07-23,1996-07-31,13.9,60,0.25,625.5,1996,7,Austria
10263,24,Guaraná Fantástica,1,Beverages,ERNSH,Ernst Handel,9,1996-07-23,1996-07-31,3.6,28,0.0,100.8,1996,7,Austria
10263,30,Nord-Ost Matjeshering,8,Seafood,ERNSH,Ernst Handel,9,1996-07-23,1996-07-31,20.7,60,0.25,931.5,1996,7,Austria
10263,74,Longlife Tofu,7,Produce,ERNSH,Ernst Handel,9,1996-07-23,1996-07-31,8.0,36,0.25,216.0,1996,7,Austria
10264,2,Chang,1,Beverages,FOLKO,Folk och fä HB,6,1996-07-24,1996-08-23,15.2,35,0.0,532.0,1996,7,Sweden
10264,41,Jack's New England Clam Chowder,8,Seafood,FOLKO,Folk och fä HB,6,1996-07-24,1996-08-23,7.7,25,0.15,163.625,1996,7,Sweden
10265,17,Alice Mutton,6,Meat/Poultry,BLONP,Blondesddsl père et fils,2,1996-07-25,1996-08-12,31.2,30,0.0,936.0,1996,7,France
10265,70,Outback Lager,1,Beverages,BLONP,Blondesddsl père et fils,2,1996-07-25,1996-08-12,12.0,20,0.0,240.0,1996,7,France
10266,12,Queso Manchego La Pastora,4,Dairy Products,WARTH,Wartian Herkku,3,1996-07-26,1996-07-31,30.4,12,0.05,346.55999999999995,1996,7,Finland
